Order_ID,Customer_ID,Warehouse_ID,Delivery_Partner_ID,Order_Date,Order_Dispatched_Date,Promised_Delivery_Date,Actual_Delivery_Date,Distance_KM,Order_Value,Freight_Cost,Packaging_Cost,Warehouse_Handling_Cost,Delivery_Partner_Cost,Order_Status
ORD01112,CUST0773,WH045,DP043,2025-09-03,2025-09-04,2025-09-06,,6.8,784.11,77.97,32.31,65.68,63.12,Failed/Returned
ORD01113,CUST1878,WH027,DP001,2025-07-15,2025-07-17,2025-07-18,2025-07-18,13.2,756.87,126.86,49.94,64.21,106.79,Delivered
ORD01114,CUST0146,WH039,DP016,2024-01-27,2024-01-28,2024-01-30,2024-01-30,25.9,975.63,238.97,49.45,61.55,123.98,Delivered
ORD01115,CUST1717,WH022,DP004,2024-11-04,2024-11-06,2024-11-08,2024-11-09,11.6,809.46,116.62,37.22,69.17,77.72,Delivered
ORD01116,CUST0303,WH033,DP010,2025-02-20,2025-02-20,2025-02-22,2025-02-24,4.1,591.59,62.42,22.33,37.88,48.56,Delivered
ORD01117,CUST0603,WH047,DP017,2024-09-24,2024-09-26,2024-09-27,2024-09-27,14.2,916.31,159.05,34.35,46.47,124.72,Delivered
ORD01118,CUST1917,WH032,DP051,2025-12-09,2025-12-11,2025-12-12,2025-12-14,14.8,1917.64,164.04,30.43,82.81,110.14,Delivered
ORD01119,CUST1923,WH002,DP006,2024-07-26,2024-07-27,2024-07-29,2024-07-28,6.7,3574.8,70.36,52.59,76.86,78.82,Delivered
ORD01120,CUST0056,WH049,DP050,2025-07-07,2025-07-08,2025-07-09,2025-07-09,5.4,581.04,70.65,18.62,49.62,67.3,Delivered
ORD01121,CUST0729,WH022,DP007,2024-02-10,2024-02-12,2024-02-13,2024-02-15,21.7,1078.45,163.4,47.15,53.09,149.75,Delivered
ORD01122,CUST1320,WH036,DP019,2025-02-03,,2025-02-07,,6.5,557.48,94.52,38.71,83.95,62.05,Cancelled
ORD01123,CUST1626,WH001,DP068,2025-02-12,2025-02-14,2025-02-16,2025-02-17,5.6,1117.72,72.59,54.36,70.72,57.12,Delivered
ORD01124,CUST0835,WH009,DP006,2025-12-04,2025-12-05,2025-12-07,2025-12-08,28.8,446.71,267.49,21.11,61.93,135.7,Delivered
ORD01125,CUST1241,WH002,DP007,2025-05-13,2025-05-14,2025-05-15,2025-05-16,13.3,1620.32,140.13,33.82,84.56,78.35,Delivered
ORD01126,CUST0523,WH029,DP075,2025-02-28,,2025-03-04,,8.2,2403.37,100.51,46.71,46.19,78.39,Cancelled
ORD01127,CUST1781,WH025,DP100,2025-04-18,2025-04-20,2025-04-21,2025-04-20,14.5,1711.31,154.03,40.24,73.97,122.55,Delivered
ORD01128,CUST0606,WH034,DP019,2024-08-13,2024-08-14,2024-08-15,2024-08-15,20.3,2038.68,175.49,35.02,43.8,173.2,Delivered
ORD01129,CUST1582,WH002,DP065,2024-05-14,,2024-05-16,,10.7,2672.86,130.89,50.16,57.02,103.77,Cancelled
ORD01130,CUST1653,WH050,DP029,2025-03-25,2025-03-27,2025-03-28,2025-03-29,11.3,957.92,146.25,24.66,29.18,87.17,Delivered
ORD01131,CUST0048,WH045,DP072,2024-04-17,2024-04-17,2024-04-18,,9.7,898.84,89.21,32.34,45.87,93.74,Failed/Returned
ORD01132,CUST1535,WH012,DP028,2024-11-06,2024-11-08,2024-11-10,2024-11-10,9.2,1127.01,114.32,25.31,81.3,81.74,Delivered
ORD01133,CUST0500,WH042,DP067,2024-11-21,2024-11-23,2024-11-24,,12.9,1136.77,148.33,17.96,78.31,116.84,Failed/Returned
ORD01134,CUST1818,WH027,DP085,2025-01-28,2025-01-29,2025-01-30,2025-01-30,10.4,1665.99,123.15,17.07,29.26,91.58,Delivered
ORD01135,CUST1563,WH038,DP046,2024-04-07,2024-04-08,2024-04-09,2024-04-09,13.7,1379.63,148.77,35.41,29.53,81.22,Delivered
ORD01136,CUST0150,WH041,DP028,2025-11-16,2025-11-17,2025-11-18,2025-11-20,5.7,560.99,75.64,12.64,51.33,67.42,Delivered
ORD01137,CUST0643,WH034,DP074,2025-07-12,2025-07-13,2025-07-14,2025-07-14,18.9,1713.27,140.86,26.48,80.05,155.45,Delivered
ORD01138,CUST1631,WH038,DP099,2024-10-09,2024-10-11,2024-10-12,2024-10-14,5.3,602.36,78.09,25.36,53.09,51.76,Delivered
ORD01139,CUST0003,WH015,DP001,2025-04-14,2025-04-16,2025-04-17,2025-04-19,26.4,836.12,246.25,40.71,53.4,210.02,Delivered
ORD01140,CUST0793,WH049,DP065,2025-09-26,2025-09-28,2025-09-29,2025-09-28,7.1,600.7,77.36,20.69,25.28,73.68,Delivered
ORD01141,CUST0769,WH005,DP068,2024-10-14,2024-10-16,2024-10-17,2024-10-17,4.8,3512.95,60.92,14.41,62.14,61.49,Delivered
ORD01142,CUST1585,WH027,DP023,2024-06-15,2024-06-17,2024-06-18,2024-06-19,10.9,919.37,137.02,49.1,53.92,109.09,Delivered
ORD01143,CUST0452,WH024,DP082,2024-05-02,2024-05-03,2024-05-05,2024-05-05,4.5,434.91,68.64,24.03,21.09,56.47,Delivered
ORD01144,CUST1487,WH009,DP052,2025-03-01,2025-03-03,2025-03-05,2025-03-07,34.1,1900.77,227.67,44.81,46.76,156.01,Delivered
ORD01145,CUST1485,WH032,DP081,2025-05-26,2025-05-28,2025-05-29,2025-05-31,13.4,259.47,163.85,47.52,79.98,127.83,Delivered
ORD01146,CUST0540,WH050,DP003,2025-05-20,2025-05-21,2025-05-22,2025-05-21,9.8,1157.68,110.14,29.08,54.06,67.03,Delivered
ORD01147,CUST1955,WH009,DP041,2025-12-15,2025-12-16,2025-12-17,2025-12-17,12.7,246.59,111.37,,80.49,119.62,Delivered
ORD01148,CUST0420,WH001,DP022,2025-06-07,2025-06-08,2025-06-10,2025-06-11,28.3,1343.19,199.62,41.16,25.11,162.9,Delivered
ORD01149,CUST0272,WH021,DP060,2024-11-29,2024-11-29,2024-12-01,2024-12-02,8.1,719.68,89.47,33.32,57.27,63.23,Delivered
ORD01150,CUST0629,WH019,DP034,2025-02-05,2025-02-07,2025-02-08,2025-02-09,11.8,955.85,103.95,37.48,67.19,97.72,Delivered
ORD01151,CUST1993,WH003,DP013,2025-08-26,2025-08-28,2025-08-29,2025-08-29,15.2,393.83,115.02,30.54,38.51,108.07,Delivered
ORD01152,CUST0222,WH035,DP019,2024-12-08,,2024-12-12,,13.2,649.89,133.98,50.92,68.16,101.71,Cancelled
ORD01153,CUST1799,WH006,DP063,2024-04-03,2024-04-04,2024-04-05,2024-04-05,7.5,1008.23,103.52,50.45,58.28,60.57,Delivered
ORD01154,CUST1119,WH037,DP044,2024-06-14,2024-06-15,2024-06-16,2024-06-19,31.1,1412.17,304.21,43.59,51.93,203.75,Delivered
ORD01155,CUST0498,WH035,DP015,2024-09-07,2024-09-08,2024-09-09,2024-09-10,10.6,527.92,124.12,48.47,31.52,80.3,Delivered
ORD01156,CUST1010,WH002,DP090,2025-10-12,2025-10-13,2025-10-15,,11.6,642.47,117.86,37.31,66.75,101.39,Failed/Returned
ORD01157,CUST0825,WH004,DP064,2024-05-14,2024-05-15,2024-05-16,2024-05-16,23.1,1039.19,240.58,22.15,46.33,117.84,Delivered
ORD01158,CUST0295,WH035,DP011,2025-03-18,2025-03-19,2025-03-20,2025-03-21,4.7,1004.3,63.76,40.33,31.11,55.67,Delivered
ORD01159,CUST0750,WH043,DP002,2025-01-26,2025-01-27,2025-01-29,2025-01-28,22.5,1792.35,197.82,45.42,55.04,111.94,Delivered
ORD01160,CUST1334,WH034,DP099,2025-10-14,2025-10-15,2025-10-17,2025-10-16,,1591.53,113.53,,24.73,78.1,Delivered
ORD01161,CUST1210,WH036,DP069,2025-12-03,2025-12-04,2025-12-05,2025-12-05,13.8,420.76,133.67,45.22,37.45,110.01,Delivered
ORD01162,CUST1828,WH009,DP005,2025-12-01,2025-12-03,2025-12-04,2025-12-05,9.1,443.29,123.79,48.59,71.9,87.48,Delivered
ORD01163,CUST1468,WH039,DP089,2024-07-22,2024-07-24,2024-07-26,2024-07-27,18.3,708.69,185.83,22.78,82.99,111.72,Delivered
ORD01164,CUST1290,WH036,DP009,2024-04-22,2024-04-24,2024-04-25,2024-04-26,13.5,429.37,133.0,39.83,38.43,104.97,Delivered
ORD01165,CUST0904,WH042,DP012,2024-08-19,2024-08-20,2024-08-22,2024-08-22,12.8,1004.43,156.29,27.35,31.64,93.96,delivered
ORD01166,CUST1913,WH002,DP079,2025-02-20,2025-02-22,2025-02-23,2025-02-23,16.4,919.42,123.4,31.44,44.73,124.48,Delivered
ORD01167,CUST1090,WH040,DP064,2024-07-07,2024-07-09,2024-07-10,2024-07-12,12.4,1999.34,135.67,28.53,29.74,117.6,Delivered
ORD01168,CUST0656,WH009,DP067,2025-12-27,2025-12-29,2025-12-30,2025-12-30,22.1,3273.4,228.35,36.8,52.1,171.18,Delivered
ORD01169,CUST0382,WH042,DP088,2024-10-22,2024-10-24,2024-10-26,2024-10-28,45.7,4364.88,275.35,38.88,35.44,221.33,Delivered
ORD01170,CUST0781,WH025,DP094,2024-06-14,2024-06-15,2024-06-17,2024-06-17,11.8,1191.13,127.58,38.64,64.56,71.85,Delivered
ORD01171,CUST1529,WH050,DP044,2025-12-23,2025-12-24,2025-12-25,2025-12-26,38.6,2225.29,263.23,48.66,37.44,231.64,Delivered
ORD01172,CUST0603,WH040,DP024,2024-05-04,2024-05-05,2024-05-06,2024-05-08,7.5,686.67,77.49,39.45,61.21,73.48,Delivered
ORD01173,CUST1775,WH015,DP025,2025-07-24,2025-07-25,2025-07-27,2025-07-28,1.8,1333.4,49.15,35.49,78.6,41.14,Delivered
ORD01174,CUST0383,WH021,DP069,2024-09-06,,2024-09-08,,28.8,722.18,313.23,44.74,66.96,141.89,Cancelled
ORD01175,CUST1938,WH026,DP076,2025-01-03,2025-01-04,2025-01-06,2025-01-05,6.8,221.97,80.67,21.53,65.15,71.94,Delivered
ORD01176,CUST1456,WH036,DP051,2025-12-07,,2025-12-10,,18.2,1961.29,184.77,27.88,21.67,127.38,Cancelled
ORD01177,CUST1250,WH002,DP042,2025-03-01,2025-03-02,2025-03-04,2025-03-03,14.0,723.12,125.11,44.51,70.25,91.66,Delivered
ORD01178,CUST1831,WH044,DP066,2024-11-30,2024-12-01,2024-12-02,2024-12-03,10.1,889.32,127.54,47.45,24.84,102.22,Delivered
ORD01179,CUST0684,WH046,DP075,2025-12-07,2025-12-08,2025-12-09,2025-12-09,17.7,725.82,131.11,22.15,71.57,113.89,Delivered
ORD01180,CUST0670,WH007,DP042,2025-10-15,2025-10-16,2025-10-18,2025-10-20,4.1,388.33,59.06,20.7,34.08,57.46,Delivered
ORD01181,CUST0200,WH034,DP031,2025-01-19,2025-01-21,2025-01-22,2025-01-23,7.6,1838.62,85.06,46.35,49.08,58.29,Delivered
ORD01182,CUST1644,WH042,DP014,2024-02-07,2024-02-08,2024-02-10,2024-02-09,5.8,461.56,66.53,24.19,70.03,70.41,Delivered
ORD01183,CUST1212,WH045,DP068,2024-08-18,2024-08-19,2024-08-20,2024-08-20,4.2,630.41,71.38,32.33,23.91,49.81,Delivered
ORD01184,CUST1079,WH033,DP072,2024-08-13,2024-08-15,2024-08-16,2024-08-16,7.6,530.33,79.19,48.83,42.64,61.96,Delivered
ORD01185,CUST1957,WH004,DP042,2025-02-24,2025-02-25,2025-02-26,2025-02-26,20.4,595.42,179.38,49.15,57.93,157.75,Delivered
ORD01186,CUST1447,WH032,DP044,2025-03-19,2025-03-21,2025-03-22,2025-03-22,14.6,784.1,173.2,33.94,83.91,95.13,Delivered
ORD01187,CUST1614,WH021,DP092,2025-03-11,2025-03-12,2025-03-13,2025-03-15,6.2,1596.86,81.56,48.19,38.72,,Delivered
ORD01188,CUST0877,WH045,DP043,2024-01-22,2024-01-23,2024-01-25,2024-01-25,10.9,2127.71,89.84,13.09,80.62,69.42,Delivered
ORD01189,CUST1326,WH038,DP030,2024-04-07,2024-04-08,2024-04-09,,7.8,592.23,99.06,15.13,35.37,84.17,Failed/Returned
ORD01190,CUST0142,WH021,DP027,2025-02-01,2025-02-02,2025-02-03,2025-02-04,9.0,754.25,81.52,12.24,42.1,69.35,Delivered
ORD01191,CUST0582,WH007,DP039,2024-06-04,2024-06-06,2024-06-07,2024-06-07,33.5,738.66,305.83,24.23,53.79,187.2,Delivered
ORD01192,CUST1919,WH045,DP029,2024-09-24,2024-09-25,2024-09-27,2024-09-26,14.9,1056.82,168.27,30.19,78.43,122.57,Delivered
ORD01193,CUST0751,WH009,DP066,2025-08-07,,2025-08-09,,4.6,671.12,79.14,54.35,65.74,54.1,Cancelled
ORD01194,CUST1113,WH046,DP014,2025-07-21,2025-07-23,2025-07-24,2025-07-25,13.1,1162.25,104.62,43.69,32.38,84.79,Delivered
ORD01195,CUST1279,WH020,DP012,2025-05-16,2025-05-17,2025-05-18,2025-05-19,8.9,999.31,118.9,14.54,67.99,80.2,Delivered
ORD01196,CUST0949,WH036,DP045,2024-01-08,2024-01-09,2024-01-10,2024-01-10,2.4,662.57,52.66,13.04,30.73,47.18,Delivered
ORD01197,CUST0951,WH031,DP042,2025-07-13,2025-07-14,2025-07-16,2025-07-15,22.5,793.14,210.73,23.19,83.26,126.41,Delivered
ORD01198,CUST0292,WH021,DP080,2024-11-21,2024-11-23,2024-11-24,2024-11-25,22.4,2004.52,242.75,15.88,73.08,168.67,Delivered
ORD01199,CUST0804,WH007,DP007,2024-06-13,2024-06-13,2024-06-15,2024-06-15,24.5,2649.83,211.34,35.62,31.81,120.35,Delivered
ORD01200,CUST0908,WH013,DP092,2024-04-23,,2024-04-25,,16.3,2581.91,169.91,43.32,80.18,146.92,Cancelled
ORD01201,CUST0318,WH012,DP074,2024-12-12,2024-12-13,2024-12-14,2024-12-16,21.5,406.61,165.52,53.07,79.13,,Delivered
ORD01202,CUST1347,WH021,DP075,2025-02-19,2025-02-20,2025-02-21,2025-02-22,15.2,3839.26,153.04,15.24,39.71,89.35,Delivered
ORD01203,CUST1617,WH016,DP074,2024-06-18,2024-06-19,2024-06-21,2024-06-22,1.7,1047.78,46.22,48.8,55.11,46.49,Delivered
ORD01204,CUST1510,WH030,DP096,2025-01-02,,2025-01-05,,4.5,688.96,75.69,49.95,34.23,53.72,Cancelled
ORD01205,CUST1661,WH037,DP100,2024-04-07,2024-04-09,2024-04-11,2024-04-11,7.5,1306.16,76.87,33.42,66.51,84.3,Delivered
ORD01206,CUST0383,WH001,DP074,2025-08-12,2025-08-13,2025-08-15,2025-08-15,8.8,1282.37,81.44,19.5,24.54,70.08,Delivered
ORD01207,CUST0231,WH047,DP028,2025-09-01,2025-09-03,2025-09-04,2025-09-05,37.3,1882.2,282.46,33.08,78.2,233.37,Delivered
ORD01208,CUST0058,WH010,DP087,2025-01-20,2025-01-22,2025-01-24,2025-01-24,13.0,917.67,151.56,44.37,26.41,94.65,Delivered
ORD01209,CUST0078,WH012,DP006,2024-11-13,2024-11-14,2024-11-16,2024-11-18,16.0,405.61,163.53,23.41,56.02,143.14,Delivered
ORD01210,CUST0898,WH037,DP045,2025-05-19,2025-05-20,2025-05-21,2025-05-22,8.2,1395.73,105.6,41.39,65.07,88.42,Delivered
ORD01211,CUST0808,WH035,DP008,2024-04-16,2024-04-16,2024-04-17,2024-04-17,12.8,1957.96,149.58,46.34,79.97,115.06,Delivered
ORD01212,CUST1322,WH025,DP011,2024-03-18,2024-03-20,2024-03-21,2024-03-21,21.9,1337.64,207.34,47.03,75.59,110.29,Delivered
ORD01213,CUST1169,WH047,DP012,2025-04-01,2025-04-02,2025-04-03,2025-04-04,8.9,781.13,105.18,12.98,29.7,89.44,Delivered
ORD01214,CUST0190,WH002,DP039,2025-11-19,2025-11-21,2025-11-22,2025-11-23,25.1,1343.96,269.42,20.55,38.02,161.64,Delivered
ORD01215,CUST0963,WH027,DP011,2024-03-22,2024-03-22,2024-03-23,2024-03-24,5.8,1846.06,66.69,21.05,58.58,74.84,Delivered
ORD01216,CUST0237,WH010,DP027,2024-09-05,2024-09-07,2024-09-08,2024-09-07,15.2,1001.74,181.22,18.77,76.34,138.97,Delivered
ORD01217,CUST1241,WH008,DP099,2025-05-23,2025-05-24,2025-05-25,2025-05-26,20.3,1452.77,147.94,44.08,25.8,128.6,Delivered
ORD01218,CUST0066,WH047,DP058,2025-12-13,2025-12-14,2025-12-16,2025-12-17,28.2,2267.84,280.7,17.85,42.29,179.29,Delivered
ORD01219,CUST0439,WH047,DP005,2025-04-19,2025-04-20,2025-04-22,2025-04-23,7.9,1054.26,89.52,24.63,32.51,65.29,Delivered
ORD01220,CUST1591,WH020,DP067,2025-08-26,2025-08-28,2025-08-30,2025-08-30,9.1,3030.83,93.33,16.46,69.68,65.96,Delivered
ORD01221,CUST1075,WH041,DP018,2024-11-07,2024-11-08,2024-11-09,2024-11-09,20.4,1063.29,195.8,51.64,75.89,,Delivered
ORD01222,CUST1721,WH002,DP076,2024-08-15,2024-08-17,2024-08-19,2024-08-20,6.6,1123.24,100.82,20.33,75.05,64.04,Delivered
ORD01223,CUST0003,WH042,DP028,2024-09-19,2024-09-21,2024-09-22,2024-09-22,1.2,912.05,43.07,42.77,56.98,42.34,Delivered
ORD01224,CUST0243,WH030,DP019,2025-04-28,2025-04-29,2025-04-30,2025-04-30,5.3,1819.52,71.01,23.84,47.55,57.82,Delivered
ORD01225,CUST0532,WH002,DP010,2024-04-01,,2024-04-05,,9.5,1164.26,83.72,50.19,70.6,101.12,Cancelled
ORD01226,CUST0982,WH011,DP030,2025-09-26,2025-09-28,2025-09-29,2025-09-29,11.0,1866.87,99.15,35.97,38.07,95.25,Delivered
ORD01227,CUST1766,WH028,DP076,2024-02-26,2024-02-28,2024-02-29,2024-02-29,23.3,1467.21,166.24,12.96,34.83,131.13,Delivered
ORD01228,CUST1952,WH017,DP021,2024-11-03,2024-11-04,2024-11-05,2024-11-04,15.1,460.23,158.97,47.59,64.49,93.7,Delivered
ORD01229,CUST0035,WH008,DP079,2024-03-15,2024-03-16,2024-03-17,2024-03-19,10.3,2097.33,135.76,27.62,78.83,89.15,Delivered
ORD01230,CUST1276,WH020,DP009,2025-02-03,2025-02-05,2025-02-06,2025-02-06,14.0,920.08,159.49,27.95,58.36,96.49,Delivered
ORD01231,CUST1724,WH031,DP014,2024-05-15,2024-05-15,2024-05-16,2024-05-18,8.3,839.63,95.66,17.88,72.66,59.99,Delivered
ORD01232,CUST0252,WH033,DP005,2025-03-04,2025-03-05,2025-03-06,2025-03-08,13.0,791.3,147.88,20.91,72.4,95.45,Delivered
ORD01233,CUST1002,WH006,DP021,2024-08-26,2024-08-27,2024-08-28,2024-08-28,24.7,428.48,160.12,30.22,22.77,118.73,Delivered
ORD01234,CUST0063,WH038,DP093,2024-01-20,2024-01-21,2024-01-22,2024-01-22,20.1,2366.64,141.61,16.65,42.28,102.09,Delivered
ORD01235,CUST0947,WH004,DP092,2025-06-25,2025-06-26,2025-06-27,2025-06-27,5.0,1550.74,61.19,21.86,25.18,67.4,Delivered
ORD01236,CUST0409,WH020,DP052,2024-04-01,2024-04-02,2024-04-04,2024-04-05,15.9,704.43,116.47,19.52,65.76,118.64,Delivered
ORD01237,CUST0916,WH023,DP055,2025-12-03,2025-12-04,2025-12-06,2025-12-08,4.5,1416.83,68.66,42.25,58.75,52.18,Delivered
ORD01238,CUST0411,WH050,DP078,2025-08-16,2025-08-17,2025-08-18,2025-08-19,37.4,2172.82,393.94,29.31,73.47,212.95,Delivered
ORD01239,CUST0162,WH010,DP046,2025-05-28,2025-05-28,2025-05-29,2025-05-29,18.7,1404.51,206.17,37.16,54.1,143.42,Delivered
ORD01240,CUST0872,WH027,DP013,2025-04-12,2025-04-12,2025-04-14,2025-04-14,14.0,1048.88,146.25,25.36,41.47,119.29,Delivered
ORD01241,CUST0958,WH043,DP016,2025-02-27,2025-03-01,2025-03-03,2025-03-02,17.4,699.34,187.16,51.3,22.43,105.48,Delivered
ORD01242,CUST1153,WH046,DP097,2024-06-20,2024-06-22,2024-06-24,2024-06-23,21.5,1089.58,217.37,42.1,65.99,148.88,Delivered
ORD01243,CUST1607,WH021,DP023,2024-04-15,2024-04-17,2024-04-18,2024-04-18,12.2,2676.32,126.61,13.82,59.69,111.02,Delivered
ORD01244,CUST1084,WH039,DP064,2024-04-16,2024-04-18,2024-04-19,2024-04-20,4.1,1590.07,59.57,39.47,62.12,56.98,Delivered
ORD01245,CUST1536,WH036,DP038,2025-05-13,2025-05-15,2025-05-16,2025-05-16,30.4,1475.28,332.23,16.39,79.02,144.25,Delivered
ORD01246,CUST0546,WH037,DP032,2024-11-22,2024-11-24,2024-11-26,2024-11-27,14.3,1069.97,129.55,22.03,31.32,88.37,Delivered
ORD01247,CUST0593,WH039,DP075,2024-08-02,2024-08-04,2024-08-05,2024-08-05,21.6,374.04,208.94,36.44,27.41,169.53,Delivered
ORD01248,CUST1737,WH028,DP085,2025-10-30,2025-11-01,2025-11-02,2025-11-01,17.1,932.75,124.86,18.0,33.93,117.81,Delivered
ORD01249,CUST0113,WH027,DP021,2025-04-24,2025-04-26,2025-04-28,2025-04-30,11.7,1435.11,130.4,40.41,62.85,101.01,Delivered
ORD01250,CUST0482,WH006,DP048,2025-05-09,2025-05-11,2025-05-12,2025-05-12,5.6,792.45,79.0,41.43,68.81,65.14,Delivered
ORD01251,CUST0172,WH008,DP057,2024-03-08,,2024-03-10,,28.6,902.53,254.86,53.39,67.51,192.41,Cancelled
ORD01252,CUST1988,WH005,DP070,2024-04-04,2024-04-05,2024-04-06,2024-04-07,4.5,1477.2,64.34,51.91,78.12,50.99,Delivered
ORD01253,CUST1511,WH033,DP030,2024-05-01,2024-05-02,2024-05-03,2024-05-03,28.5,548.03,249.73,36.56,48.62,170.39,Delivered
ORD01254,CUST0096,WH035,DP054,2025-05-09,2025-05-10,2025-05-11,2025-05-11,23.8,2457.47,165.15,32.4,50.76,186.61,Delivered
ORD01255,CUST0826,WH039,DP012,2024-01-29,2024-01-31,2024-02-01,2024-02-03,23.0,1031.95,257.43,44.88,63.42,151.0,Delivered
ORD01256,CUST1229,WH011,DP086,2025-08-30,2025-09-01,2025-09-03,2025-09-05,24.6,2121.61,176.5,30.21,78.75,180.26,Delivered
ORD01257,CUST1362,WH031,DP082,2025-12-20,2025-12-22,2025-12-24,2025-12-24,4.8,1697.42,67.51,14.15,22.8,63.1,Delivered
ORD01258,CUST0727,WH008,DP055,2024-03-18,2024-03-20,2024-03-22,2024-03-23,13.3,1150.36,144.21,13.89,78.47,84.32,Delivered
ORD01259,CUST0460,WH036,DP043,2025-04-05,2025-04-07,2025-04-09,2025-04-10,2.4,378.68,56.35,43.08,43.01,46.62,Delivered
ORD01260,CUST0373,WH026,DP038,2025-07-10,2025-07-12,2025-07-13,2025-07-14,13.3,1029.58,163.09,39.52,77.51,112.25,Delivered
ORD01261,CUST1476,WH016,DP034,2024-07-03,2024-07-04,2024-07-05,2024-07-06,11.0,962.22,104.61,52.23,47.91,90.51,Delivered
ORD01262,CUST0210,WH022,DP050,2025-04-07,2025-04-08,2025-04-10,2025-04-11,5.5,1772.43,72.28,18.12,83.78,68.22,delivered
ORD01263,CUST0001,WH009,DP065,2024-01-21,2024-01-23,2024-01-24,2024-01-25,30.1,500.51,302.69,53.61,82.41,157.32,Delivered
ORD01264,CUST1803,WH003,DP056,2025-08-24,2025-08-25,2025-08-27,2025-08-26,19.5,561.63,179.25,17.91,36.8,170.77,Delivered
ORD01265,CUST0046,WH028,DP080,2025-03-11,2025-03-13,2025-03-15,2025-03-15,10.1,1392.51,89.23,47.82,25.8,105.65,Delivered
ORD01266,CUST1355,WH023,DP097,2025-12-30,2025-12-31,2026-01-01,2026-01-01,7.0,689.61,75.71,54.45,61.61,78.98,Delivered
ORD01267,CUST1474,WH031,DP053,2025-12-05,2025-12-06,2025-12-07,2025-12-07,12.2,1758.61,155.84,50.46,42.21,73.74,Delivered
ORD01268,CUST1597,WH022,DP090,2024-04-08,2024-04-09,2024-04-10,2024-04-11,8.2,687.37,113.16,12.94,30.76,68.73,Delivered
ORD01269,CUST0879,WH007,DP041,2024-07-16,2024-07-17,2024-07-18,2024-07-18,8.6,2081.68,107.97,39.96,76.75,70.21,Delivered
ORD01270,CUST1517,WH049,DP062,2024-09-06,2024-09-07,2024-09-09,2024-09-11,12.4,1161.33,101.05,50.55,80.54,97.78,Delivered
ORD01271,CUST1292,WH035,DP006,2024-05-01,2024-05-02,2024-05-03,2024-05-03,9.4,997.57,116.29,35.51,82.17,95.77,Delivered
ORD01272,CUST0907,WH006,DP035,2024-03-28,2024-03-29,2024-03-30,2024-03-31,19.8,1182.24,144.35,29.79,75.11,112.34,Delivered
ORD01273,CUST1940,WH025,DP034,2025-09-07,2025-09-09,2025-09-10,2025-09-12,35.7,851.14,309.61,35.47,60.07,257.02,Delivered
ORD01274,CUST1126,WH040,DP057,2024-05-06,2024-05-07,2024-05-09,2024-05-09,28.7,513.71,259.9,25.4,52.94,200.16,Delivered
ORD01275,CUST1646,WH021,DP085,2024-09-20,2024-09-22,2024-09-23,2024-09-23,13.4,1102.69,111.03,14.12,28.07,107.31,Delivered
ORD01276,CUST1428,WH016,DP049,2025-08-18,2025-08-20,2025-08-21,2025-08-23,28.9,922.14,195.88,50.23,22.89,176.55,Delivered
ORD01277,CUST1102,WH039,DP097,2025-10-09,2025-10-11,2025-10-12,2025-10-12,34.9,486.7,245.65,45.17,72.49,183.59,Delivered
ORD01278,CUST1187,WH033,DP034,2024-10-31,2024-11-02,2024-11-04,2024-11-04,6.7,758.7,81.2,26.09,58.97,55.31,Delivered
ORD01279,CUST0612,WH009,DP068,2024-08-21,2024-08-23,2024-08-24,,4.1,1110.26,56.46,53.76,36.26,62.4,Failed/Returned
ORD01280,CUST1765,WH048,DP072,2025-09-13,2025-09-14,2025-09-15,2025-09-15,9.9,1939.3,104.82,38.38,48.04,77.64,Delivered
ORD01281,CUST1772,WH028,DP047,2024-04-15,2024-04-17,2024-04-18,2024-04-18,4.4,3830.18,68.83,33.07,48.8,48.71,Delivered
ORD01282,CUST1601,WH013,DP065,2024-01-06,2024-01-08,2024-01-09,2024-01-11,33.6,794.2,224.98,46.63,21.88,250.99,Delivered
ORD01283,CUST1750,WH009,DP082,2025-06-18,2025-06-19,2025-06-21,2025-06-21,19.1,800.33,197.41,19.93,47.22,96.44,Delivered
ORD01284,CUST1896,WH015,DP007,2024-06-02,2024-06-03,2024-06-04,2024-06-06,18.7,531.8,168.28,12.39,80.57,155.1,Delivered
ORD01285,CUST0877,WH029,DP062,2024-10-30,2024-10-31,2024-11-01,2024-10-31,18.3,882.39,163.21,41.84,50.81,145.81,Delivered
ORD01286,CUST0576,WH012,DP091,2024-11-22,2024-11-23,2024-11-25,2024-11-26,3.3,1061.5,66.53,54.29,26.0,56.14,Delivered
ORD01287,CUST0123,WH025,DP001,2024-09-18,2024-09-19,2024-09-21,2024-09-21,12.1,1209.54,96.41,44.7,83.66,94.27,Delivered
ORD01288,CUST0262,WH036,DP026,2025-02-17,2025-02-19,2025-02-20,2025-02-22,35.2,884.57,315.81,49.61,31.24,273.2,Delivered
ORD01289,CUST0914,WH018,DP018,2024-12-25,2024-12-25,2024-12-27,2024-12-26,10.8,514.96,103.21,54.75,46.56,74.49,Delivered
ORD01290,CUST0110,WH011,DP027,2025-10-29,2025-10-30,2025-11-01,2025-11-02,15.7,1018.94,173.14,34.74,34.87,112.16,Delivered
ORD01291,CUST1775,WH025,DP097,2025-04-06,2025-04-08,2025-04-10,2025-04-10,4.9,1174.39,68.08,34.89,49.98,65.75,Delivered
